,imonth,success,attacktype1,latitude,longitude,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt
0,2,1,4,28.632381,77.220004,Hijacking,6,Airports & Aircraft,6,Explosives/Bombs/Dynamite
1,1,1,3,25.863042,85.78100400000002,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
2,5,1,3,28.632381,77.220004,Bombing/Explosion,6,Airports & Aircraft,6,Explosives/Bombs/Dynamite
3,9,1,4,19.075984,72.877656,Hijacking,6,Airports & Aircraft,5,Firearms
5,1,1,1,24.817011,93.936844,Assassination,2,Government (General),5,Firearms
6,4,1,2,24.663717,93.906269,Armed Assault,3,Police,5,Firearms
7,6,1,1,23.164543,92.937574,Assassination,2,Government (General),5,Firearms
8,7,1,2,26.200604,92.937574,Armed Assault,2,Government (General),5,Firearms
11,8,1,9,16.435329,77.831725,Unknown,14,Private Citizens & Property,13,Unknown
12,8,1,2,,,Armed Assault,3,Police,5,Firearms
13,8,1,2,23.469545,93.337934,Armed Assault,3,Police,5,Firearms
14,8,1,1,23.727107,92.717639,Assassination,2,Government (General),5,Firearms
15,8,1,3,22.804567,86.202875,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives/Bombs/Dynamite
16,8,1,2,28.632381,77.220004,Armed Assault,2,Government (General),5,Firearms
17,8,1,2,28.632381,77.220004,Armed Assault,3,Police,5,Firearms
18,8,1,3,22.804567,86.202875,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
19,9,1,3,13.08268,80.270718,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
20,9,1,2,24.663717,93.906269,Armed Assault,3,Police,5,Firearms
21,12,0,1,26.846709000000004,80.946159,Assassination,2,Government (General),5,Firearms
22,12,1,1,24.663717,93.906269,Assassination,2,Government (General),13,Unknown
23,12,1,2,25.096074,85.313119,Armed Assault,3,Police,5,Firearms
24,1,1,1,24.817011,93.936844,Assassination,2,Government (General),13,Unknown
25,1,1,2,24.663717,93.906269,Armed Assault,2,Government (General),5,Firearms
26,3,1,1,,,Assassination,8,Educational Institution,5,Firearms
27,3,1,2,25.410833,78.73916700000002,Armed Assault,12,NGO,8,Incendiary
28,4,1,3,22.572646,88.363895,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
29,4,1,1,28.632381,77.220004,Assassination,14,Private Citizens & Property,5,Firearms
30,8,1,3,12.492222,78.567778,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
31,11,0,3,26.200605,92.937574,Bombing/Explosion,21,Utilities,6,Explosives/Bombs/Dynamite
32,12,1,3,26.200605,92.937574,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
33,12,1,3,26.200605,92.937574,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
34,1,1,9,24.663717,93.906269,Unknown,3,Police,13,Unknown
37,3,1,3,26.179222,91.753346,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
39,4,1,1,26.75602,94.20945,Assassination,2,Government (General),6,Explosives/Bombs/Dynamite
40,4,1,1,26.158435,94.562443,Assassination,2,Government (General),5,Firearms
42,7,1,3,,,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
43,8,1,3,24.663717,93.906269,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
44,8,1,3,26.200605,92.937574,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
45,9,1,9,24.663717,93.906269,Unknown,2,Government (General),13,Unknown
46,9,1,1,21.214186,73.243362,Assassination,4,Military,13,Unknown
47,9,1,4,28.632381,77.220004,Hijacking,6,Airports & Aircraft,5,Firearms
48,10,1,1,30.733315,76.779418,Assassination,2,Government (General),5,Firearms
49,11,1,3,30.733315,76.779418,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives/Bombs/Dynamite
50,2,1,9,24.663717,93.906269,Unknown,4,Military,13,Unknown
51,6,1,9,22.986757,87.854975,Unknown,22,Violent Political Party,13,Unknown
52,6,1,3,26.179222,91.753346,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
53,6,1,1,28.632381,77.220004,Assassination,7,Government (Diplomatic),5,Firearms
54,6,1,1,23.727107,92.717639,Assassination,2,Government (General),5,Firearms
55,6,1,1,23.164543,92.937574,Assassination,20,Unknown,5,Firearms
56,8,1,4,26.292047,73.032411,Hijacking,6,Airports & Aircraft,5,Firearms
57,8,0,1,19.075984,72.877656,Assassination,7,Government (Diplomatic),5,Firearms
58,10,0,9,31.633979,74.872264,Unknown,2,Government (General),13,Unknown
59,10,1,2,24.2355,93.025391,Armed Assault,3,Police,5,Firearms
60,10,1,3,31.633979,74.872264,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives/Bombs/Dynamite
61,11,1,3,28.632381,77.220004,Bombing/Explosion,7,Government (Diplomatic),6,Explosives/Bombs/Dynamite
62,12,1,3,19.075984,72.877656,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
64,2,1,3,28.632381,77.220004,Bombing/Explosion,6,Airports & Aircraft,6,Explosives/Bombs/Dynamite
65,2,1,3,28.632381,77.220004,Bombing/Explosion,6,Airports & Aircraft,6,Explosives/Bombs/Dynamite
66,2,1,9,28.632381,77.220004,Unknown,7,Government (Diplomatic),13,Unknown
67,2,1,3,26.179222,91.753346,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
68,2,1,1,26.1829,91.7474,Assassination,2,Government (General),13,Unknown
69,3,1,3,28.632381,77.220004,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
70,3,1,3,28.632381,77.220004,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
71,3,1,3,26.200605,92.937574,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
72,3,0,3,26.179222,91.753346,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
73,3,0,1,31.780193,75.451952,Assassination,15,Religious Figures/Institutions,13,Unknown
74,3,1,1,30.663937,74.40178900000002,Assassination,14,Private Citizens & Property,5,Firearms
75,3,1,2,31.818914000000003,75.376351,Armed Assault,14,Private Citizens & Property,5,Firearms
76,3,1,3,31.147131,75.34121800000001,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
77,3,1,3,21.656917,82.159196,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
78,3,1,3,26.179222,91.753346,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
79,4,1,3,26.179222,91.753346,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
83,4,1,1,31.633979,74.872264,Assassination,3,Police,5,Firearms
84,6,1,1,31.214128,75.19539300000002,Assassination,15,Religious Figures/Institutions,13,Unknown
85,6,1,3,31.326015,75.576183,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
86,8,1,1,30.476639,74.511172,Assassination,3,Police,5,Firearms
88,9,1,1,30.900965000000006,75.857276,Assassination,3,Police,5,Firearms
91,9,1,1,31.633979,74.872264,Assassination,14,Private Citizens & Property,5,Firearms
92,9,1,1,31.633979,74.872264,Assassination,3,Police,5,Firearms
93,10,1,3,28.658188,77.22740300000002,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
94,10,1,3,28.658188,77.22740300000002,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
95,10,1,3,28.632381,77.220004,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
96,10,0,1,31.448943,74.925262,Assassination,3,Police,5,Firearms
97,10,1,3,30.733315,76.779418,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
98,10,0,3,30.733315,76.779418,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
99,10,0,3,30.733315,76.779418,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
100,10,1,3,26.200605,92.937574,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
101,10,1,1,31.633979,74.872264,Assassination,14,Private Citizens & Property,5,Firearms
102,10,0,1,28.632381,77.220004,Assassination,7,Government (Diplomatic),5,Firearms
103,11,1,3,26.200605,92.937574,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
105,11,1,3,26.179222,91.753346,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
106,11,1,6,31.147131,75.34121800000001,Hostage Taking (Kidnapping),19,Transportation,5,Firearms
107,11,0,1,26.179222,91.753346,Assassination,2,Government (General),5,Firearms
108,11,0,1,31.326015,75.576183,Assassination,2,Government (General),5,Firearms
109,12,1,1,31.147131,75.34121800000001,Assassination,14,Private Citizens & Property,5,Firearms
110,2,1,3,31.147131,75.34121800000001,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
111,2,1,1,31.147131,75.34121800000001,Assassination,14,Private Citizens & Property,13,Unknown
112,2,1,2,23.940848000000006,91.988153,Armed Assault,4,Military,13,Unknown
113,2,1,1,25.906267,93.72759,Assassination,2,Government (General),5,Firearms
114,2,1,9,31.147131,75.34121800000001,Unknown,3,Police,13,Unknown
115,2,1,1,31.147131,75.34121800000001,Assassination,3,Police,9,Melee
116,2,1,2,31.147131,75.34121800000001,Armed Assault,3,Police,6,Explosives/Bombs/Dynamite
117,2,1,7,30.210994,74.945474,Facility/Infrastructure Attack,15,Religious Figures/Institutions,8,Incendiary
118,2,1,7,30.210994,74.945474,Facility/Infrastructure Attack,15,Religious Figures/Institutions,8,Incendiary
119,2,1,7,30.210994,74.945474,Facility/Infrastructure Attack,15,Religious Figures/Institutions,8,Incendiary
120,2,1,3,31.633979,74.872264,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
121,2,0,3,31.534899,75.91057099999998,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives/Bombs/Dynamite
122,2,1,2,29.980676000000006,76.584475,Armed Assault,14,Private Citizens & Property,5,Firearms
123,2,1,2,31.147131,75.34121800000001,Armed Assault,14,Private Citizens & Property,5,Firearms
124,2,1,3,31.633979,74.872264,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives/Bombs/Dynamite
125,3,1,9,24.817011,93.936844,Unknown,4,Military,13,Unknown
126,3,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
127,3,1,1,30.933135,74.622476,Assassination,15,Religious Figures/Institutions,5,Firearms
128,3,1,1,31.147131,75.34121800000001,Assassination,14,Private Citizens & Property,13,Unknown
129,3,1,3,31.147131,75.34121800000001,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
130,3,1,1,28.632381,77.220004,Assassination,2,Government (General),5,Firearms
131,3,0,1,31.147131,75.34121800000001,Assassination,1,Business,5,Firearms
132,3,1,1,31.633979,74.872264,Assassination,14,Private Citizens & Property,5,Firearms
133,3,1,1,28.658188,77.22740300000002,Assassination,14,Private Citizens & Property,13,Unknown
134,3,0,2,23.807118,91.563953,Armed Assault,21,Utilities,5,Firearms
135,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives/Bombs/Dynamite
136,4,1,1,31.633979,74.872264,Assassination,2,Government (General),13,Unknown
137,4,1,1,30.733315,76.779418,Assassination,2,Government (General),5,Firearms
138,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
139,4,1,9,27.023803000000004,74.217933,Unknown,1,Business,13,Unknown
140,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
141,4,1,3,30.210994,74.945474,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives/Bombs/Dynamite
142,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives/Bombs/Dynamite
143,4,1,1,30.210994,74.945474,Assassination,14,Private Citizens & Property,5,Firearms
144,4,1,7,30.966064000000006,76.523162,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary
145,4,1,1,31.052128000000003,76.117499,Assassination,1,Business,5,Firearms
146,4,1,1,30.34,76.38,Assassination,1,Business,13,Unknown
147,4,1,1,31.633979,74.872264,Assassination,1,Business,13,Unknown
148,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives/Bombs/Dynamite
150,4,1,2,31.633979,74.872264,Armed Assault,15,Religious Figures/Institutions,5,Firearms
151,4,1,1,28.831237,76.39556,Assassination,10,Journalists & Media,5,Firearms
152,4,1,1,31.633979,74.872264,Assassination,17,Terrorists/Non-State Militia,5,Firearms
153,4,1,1,31.633979,74.872264,Assassination,17,Terrorists/Non-State Militia,5,Firearms
154,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
155,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
156,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
157,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
158,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
159,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
160,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
161,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
162,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
163,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
164,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
165,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
166,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
167,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
168,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
169,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
170,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
171,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
172,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
173,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
174,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
175,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
176,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
177,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
178,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
179,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
180,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
181,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
182,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
183,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
184,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
185,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
186,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
187,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
188,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
189,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
190,4,1,3,31.147131,75.34121800000001,Bombing/Explosion,19,Transportation,5,Firearms
191,4,1,7,31.147131,75.34121800000001,Facility/Infrastructure Attack,2,Government (General),8,Incendiary
192,4,1,1,31.633979,74.872264,Assassination,17,Terrorists/Non-State Militia,5,Firearms
193,4,1,1,31.633979,74.872264,Assassination,22,Violent Political Party,13,Unknown
194,4,1,1,31.633979,74.872264,Assassination,15,Religious Figures/Institutions,5,Firearms
195,4,1,1,33.315527,74.622476,Assassination,14,Private Citizens & Property,13,Unknown
196,4,1,1,30.733315,76.779418,Assassination,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
198,4,1,1,30.378179,76.776697,Assassination,3,Police,5,Firearms
199,4,1,1,,,Assassination,17,Terrorists/Non-State Militia,13,Unknown
200,4,1,7,,,Facility/Infrastructure Attack,19,Transportation,8,Incendiary
201,4,1,1,31.800654,75.78801800000002,Assassination,15,Religious Figures/Institutions,5,Firearms
202,4,1,2,30.464581,77.640726,Armed Assault,1,Business,5,Firearms
203,4,1,1,31.147131,75.34121800000001,Assassination,4,Military,9,Melee
204,4,1,9,30.954424,74.612085,Unknown,3,Police,13,Unknown
205,4,1,9,31.147131,75.34121800000001,Unknown,3,Police,13,Unknown
206,4,1,1,31.633979,74.872264,Assassination,15,Religious Figures/Institutions,9,Melee
207,4,1,1,31.633979,74.872264,Assassination,1,Business,5,Firearms
208,4,1,1,31.147131,75.34121800000001,Assassination,1,Business,5,Firearms
209,4,1,1,31.147131,75.34121800000001,Assassination,3,Police,5,Firearms
210,5,1,1,23.940848000000006,91.988153,Assassination,3,Police,5,Firearms
211,5,0,1,31.147131,75.34121800000001,Assassination,2,Government (General),5,Firearms
212,5,0,2,29.058776,76.085601,Armed Assault,19,Transportation,5,Firearms
213,5,1,3,31.633979,74.872264,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
214,5,1,1,30.933135,74.622476,Assassination,2,Government (General),13,Unknown
215,5,1,1,31.633979,74.872264,Assassination,15,Religious Figures/Institutions,5,Firearms
216,5,1,1,31.147131,75.34121800000001,Assassination,10,Journalists & Media,5,Firearms
217,5,1,9,31.147131,75.34121800000001,Unknown,19,Transportation,13,Unknown
218,5,1,3,,,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
