,nkill
0,0
1,4
2,0
3,0
5,3
6,4
7,1
8,2
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,3
19,3
20,4
21,0
22,1
23,3
24,1
25,2
26,1
27,4
28,2
29,1
30,6
31,0
32,0
33,0
34,6
37,0
39,1
40,3
42,0
43,0
44,0
45,9
46,1
47,0
48,1
49,3
50,20
51,6
52,19
53,1
54,1
55,4
56,1
57,0
58,5
59,6
60,1
61,0
62,0
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,0
77,10
78,0
79,2
83,2
84,1
85,2
86,2
88,2
91,1
92,3
93,4
94,4
95,0
96,0
97,3
98,0
99,0
100,0
101,1
102,0
103,14
105,1
106,4
107,0
108,0
109,1
110,0
111,2
112,4
113,1
114,1
115,1
116,1
117,0
118,0
119,0
120,0
121,0
122,3
123,5
124,3
125,14
126,0
127,1
128,1
129,0
130,2
131,0
132,4
133,1
134,0
135,2
136,3
137,1
138,0
139,2
140,0
141,1
142,0
143,1
144,0
145,2
146,1
147,1
148,0
150,2
151,1
152,1
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,1
194,1
195,2
196,1
198,2
199,1
200,0
201,1
202,3
203,1
204,6
205,2
206,1
207,1
208,1
209,2
210,3
211,0
212,0
213,1
214,1
215,1
216,1
217,1
218,3
219,3
220,0
221,1
222,0
223,1
224,0
225,1
226,1
227,4
228,0
229,3
230,1
231,2
232,0
233,0
234,2
235,2
236,0
237,4
238,3
239,1
240,1
241,1
242,1
243,1
244,1
245,0
246,1
247,0
248,0
249,1
250,3
252,0
253,0
254,1
255,31
256,1
257,0
258,0
260,3
261,2
262,14
263,0
264,0
265,1
266,1
267,0
268,1
269,6
270,2
271,0
273,1
274,1
275,1
276,1
277,0
278,2
279,1
280,2
281,3
283,5
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,3
295,2
296,2
297,1
298,3
299,3
300,2
301,1
302,1
303,1
304,1
305,2
306,1
307,2
308,1
309,1
310,2
311,1
312,0
313,1
314,0
315,2
316,1
317,6
318,7
319,6
320,2
321,1
322,0
323,4
324,2
325,7
326,8
327,0
328,2
330,10
331,8
332,20
333,5
334,5
335,2
336,0
337,0
338,1
339,3
340,1
341,2
342,1
343,1
344,1
345,3
346,2
347,1
348,1
349,2
350,3
351,0
352,5
353,0
354,1
355,1
356,1
357,2
358,15
359,2
360,1
361,0
362,14
363,1
364,2
365,1
366,1
367,3
368,1
369,2
370,11
371,2
372,2
373,3
374,4
375,7
376,3
377,9
378,7
379,1
380,7
381,0
382,4
383,1
384,4
385,24
386,34
387,2
388,4
389,13
390,1
391,0
392,3
393,2
394,2
395,3
396,1
397,1
398,1
399,1
400,1
401,1
402,0
403,2
404,1
405,0
406,0
407,0
408,0
409,1
410,2
411,9
412,9
413,9
414,9
415,10
416,0
417,4
418,5
419,9
420,2
421,1
422,0
423,8
424,1
425,1
426,5
427,2
428,1
429,1
430,4
431,3
432,3
433,1
434,32
435,5
436,0
437,0
438,1
439,1
440,4
441,3
442,6
443,1
444,4
445,2
446,3
447,5
448,3
449,1
450,2
451,7
452,4
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,1
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,1
473,1
474,1
475,0
476,5
477,37
478,4
479,6
480,4
481,0
482,10
483,3
484,2
485,1
486,3
487,5
488,0
489,0
490,2
491,1
492,1
493,0
494,1
495,1
496,12
497,13
498,1
499,0
500,0
501,1
502,1
503,3
504,5
505,6
506,2
507,1
508,1
509,1
510,1
511,1
512,1
513,2
514,1
515,0
516,0
517,2
518,3
519,1
520,1
521,3
522,6
523,6
524,0
525,2
526,4
527,4
528,6
529,2
530,9
531,4
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,13
541,2
542,2
543,2
544,3
545,1
546,1
547,1
548,5
549,11
550,10
551,1
552,2
553,8
554,4
555,3
556,4
557,1
558,4
559,5
560,3
561,2
562,1
563,5
564,6
565,1
566,0
567,3
568,4
569,9
570,0
571,0
572,0
573,3
574,9
575,1
576,10
577,1
578,0
579,1
580,2
581,2
582,2
583,1
584,1
585,1
586,8
587,1
588,2
589,2
590,1
591,2
592,0
593,0
594,0
595,7
596,12
597,1
598,2
599,1
600,2
601,0
602,3
603,5
604,1
605,1
606,1
607,1
608,6
609,4
610,2
611,7
612,11
613,11
614,1
615,1
616,1
617,0
618,2
619,1
620,2
621,10
622,2
623,0
624,0
625,5
626,0
627,4
628,1
